"MDS1","MDS2","MDS3","status","city","Urb"
-0.0570804038896851,-0.0553240806211843,0.0250363661771499,"Berlin Rural","Berlin","Rural"
-0.238931848120598,0.039164435092118,-0.185901751592529,"Berlin Rural","Berlin","Rural"
0.0366220771397308,0.423087185605314,-0.25816902451164,"Berlin Rural","Berlin","Rural"
0.0277426024801045,0.427917030173948,0.0227999203770248,"Berlin Rural","Berlin","Rural"
-0.12302158946194,0.0281110523395311,0.0607065889944794,"Munich Urban","Munich","Urban"
-0.101395606243371,0.0284740926414299,0.175469469187322,"Munich Urban","Munich","Urban"
-0.26744489190837,-0.0469350873086114,0.00758582464720125,"Munich Urban","Munich","Urban"
-0.281988544845908,-0.191004847683057,0.245444300822328,"Munich Rural","Munich","Rural"
-0.012153151935522,-0.359244964053039,-0.0829745769821231,"Munich Rural","Munich","Rural"
0.0681498858012699,-0.272187896141625,-0.042824558506104,"Munich Rural","Munich","Rural"
-0.235750635696632,-0.0181180294057111,0.0216893834458099,"Berlin Rural","Berlin","Rural"
-0.217910723909977,0.141698307739639,0.12280354365675,"Berlin Rural","Berlin","Rural"
-0.392190427228906,0.133636127626859,0.221097585800306,"Berlin Rural","Berlin","Rural"
-0.287478012570877,0.317609192906107,0.128639721984395,"Berlin Rural","Berlin","Rural"
0.0136771270985901,0.187882424823516,0.140231219845389,"Berlin Rural","Berlin","Rural"
-0.232498674306672,-0.041834265498,-0.0424471891892397,"Berlin Rural","Berlin","Rural"
-0.217270805490838,-0.0885249442960257,0.0380598547526069,"Berlin Rural","Berlin","Rural"
-0.0890611395909973,-0.0107737169788689,0.292939548730313,"Berlin Rural","Berlin","Rural"
-0.12946565105985,0.0570353876506667,-0.133848539221642,"Munich Urban","Munich","Urban"
0.00311574264501335,0.281531030197699,0.423641486286354,"Munich Urban","Munich","Urban"
0.239937045948952,0.569895774095566,0.237973001288979,"Munich Urban","Munich","Urban"
0.151285620804874,-0.0314553609088366,-0.0375515636782952,"Munich Urban","Munich","Urban"
0.311177510227613,-0.170503366556053,-0.0693927694436283,"Munich Urban","Munich","Urban"
0.348790292305569,-0.189907747867395,-0.199814887434356,"Munich Urban","Munich","Urban"
-0.123798916026573,0.00599039777740666,0.0153084664786279,"Berlin Urban","Berlin","Urban"
-0.0936692115962997,0.100648073204223,0.0681423825925395,"Berlin Urban","Berlin","Urban"
0.0268534040459894,-0.00339629467935267,-0.196854233426303,"Munich Urban","Munich","Urban"
0.295700783886832,-0.0163464988737341,0.106271749758055,"Munich Urban","Munich","Urban"
0.360953252232436,-0.05172887542498,-0.140409954267971,"Munich Urban","Munich","Urban"
-0.0766641727172308,-0.261025914823993,-0.271131700280363,"Berlin Rural","Berlin","Rural"
-0.057110069309384,0.0659634116298125,-0.215111707246338,"Berlin Rural","Berlin","Rural"
0.203824601415204,0.0741465172641824,-0.211111300869005,"Berlin Rural","Berlin","Rural"
-0.247700333633083,-0.0878378285979291,0.372520200600458,"Berlin Rural","Berlin","Rural"
0.38161294711052,-0.195782229306937,0.429461043248602,"Munich Urban","Munich","Urban"
0.150359687971418,-0.130055042088034,0.400340087687103,"Munich Urban","Munich","Urban"
-0.0852709509490524,0.151377329735912,0.233269567167478,"Munich Rural","Munich","Rural"
-0.0942683381106038,0.0652843465451468,0.276607695444677,"Munich Rural","Munich","Rural"
-0.143763005673269,-0.00383507569836714,0.433057385003923,"Munich Rural","Munich","Rural"
-0.221781415347589,0.266283371644059,-0.254383483993427,"Berlin Urban","Berlin","Urban"
0.0309607711433039,0.0928566021272204,-0.49853946902369,"Berlin Urban","Berlin","Urban"
0.179613851395841,0.146065784401611,-0.633949073255417,"Berlin Urban","Berlin","Urban"
0.298665070348907,0.339658144168498,-0.256860922055094,"Berlin Urban","Berlin","Urban"
-0.0435775507792856,-0.119571483363403,0.286216576148267,"Munich Rural","Munich","Rural"
0.110431924186996,-0.454393914115568,-0.0381562689003976,"Munich Rural","Munich","Rural"
-0.348359588978505,-0.322564871275915,0.145695539611548,"Munich Rural","Munich","Rural"
-0.180518681096548,-0.348705198350741,-0.122863955960933,"Berlin Urban","Berlin","Urban"
-0.0875951237504608,0.267355330032868,0.257762210520919,"Berlin Urban","Berlin","Urban"
0.520535245720281,-0.220642673308983,0.150068263193371,"Munich Rural","Munich","Rural"
0.472518995369652,-0.301507446800678,0.214302271631868,"Munich Rural","Munich","Rural"
0.646014622040487,-0.0654764849168483,0.103599729733071,"Munich Rural","Munich","Rural"
0.462685028829906,0.17045413402681,-0.169046748845332,"Munich Rural","Munich","Rural"
-0.057541973494592,0.257581282302588,0.317720286913383,"Munich Rural","Munich","Rural"
0.465541857369033,0.0839220684700076,-0.278347188433624,"Munich Rural","Munich","Rural"
0.197808133781017,-0.358862802047466,0.228886737502061,"Munich Rural","Munich","Rural"
0.007935317243849,-0.17496083496572,0.0800260641276322,"Munich Rural","Munich","Rural"
-0.392156090722967,-0.542029684795897,-0.278672317276222,"Munich Urban","Munich","Urban"
-0.609528470727143,0.331782326071531,-0.338491189019374,"Munich Urban","Munich","Urban"
-0.360569533484693,0.182356047916333,-0.280160273967823,"Munich Urban","Munich","Urban"
-0.338470226791751,-0.248310066935298,-0.280634692090931,"Berlin Rural","Berlin","Rural"
-0.178236477102705,-0.121677579068268,0.103609239951116,"Berlin Rural","Berlin","Rural"
-0.112534627743199,-0.441902501774269,0.289407411932992,"Berlin Rural","Berlin","Rural"
-0.356452534140029,-0.0420819623026584,-0.142409366023163,"Berlin Rural","Berlin","Rural"
