"garden_yr","garden_yr_richness","garden_yr_diversity","garden_yr_total_cover","garden_yr_wild_richness","garden_yr_wild_diversity","garden_yr_wild_total_cover","garden_yr_cult_richness","garden_yr_cult_diversity","garden_yr_cult_total_cover","garden","city","impervious_1000","year","round","garden_yr_beta","garden_yr_beta_wild","garden_yr_beta_cult"
"GASTS_2020",9.75,4.72740054481441,40.75,7.95833333333333,5.20295935618861,25.4166666666667,1.79166666666667,1.20633570242701,15.375,"GASTS","Berlin",32.72,2020,1,0.874778314744604,0.82416832655445,0.916718361459735
"GASTS_2021",8.125,4.95826448561844,48.875,6.28125,3.96947328939042,31.1875,1.8125,1.37432488794217,17.65625,"GASTS","Berlin",32.72,2021,1,0.915312389244003,0.85012711709355,0.947691191808753
"GASTS_2022",8.28125,4.7861555,37.78125,5.90625,3.63537293657046,25.4375,2.21875,1.5701711015674,12.46875,"GASTS","Berlin",32.72,2022,1,0.897431172691828,0.851724757551026,0.925927309083286
"GASTS_2023",11.4347826086957,5.76074482608696,58.1739130434783,9.60869565217391,5.27870676701824,46.3478260869565,1.78260869565217,1.12115244886884,12.0434782608696,"GASTS","Berlin",32.72,2023,1,0.830991485957463,0.801861362849493,0.76954384902396
"GDB_2020",9.84615384615385,4.11847919364075,33,5.30769230769231,3.84356412817951,8.38461538461539,4.53846153846154,2.52310947448081,24.6153846153846,"GDB","Berlin",29.59,2020,1,0.945534683056657,0.893760224872617,0.937911792755909
"GDB_2021",6.92857142857143,3.96133501012279,44.8928571428571,3.32142857142857,2.54870948079472,11.3571428571429,3.53571428571429,2.46318761784252,33.25,"GDB","Berlin",29.59,2021,1,0.958739904167978,0.868946905310202,0.959753661920086
"GDB_2022",7.23076923076923,4.53247696153846,23.7307692307692,3.80769230769231,2.81580777658128,7.19230769230769,3.07692307692308,2.34270085905158,15.0384615384615,"GDB","Berlin",29.59,2022,1,0.954167738414118,0.938982657248829,0.946148604921532
"GDB_2023",11.3913043478261,6.20974486956522,48.1304347826087,9.17391304347826,6.02621429234782,28.5652173913043,2.04347826086957,1.61166236667742,20.9130434782609,"GDB","Berlin",29.59,2023,1,0.933660359436137,0.9035733512345,0.931460086675512
"GG_2021",7.7,5.04111384584655,35.55,4.95,3.5695863401092,19,2.75,2.01315569094713,18.6,"GG","Munich",60.24,2021,1,0.910815086984137,0.872371197944642,0.925345570508312
"GG_2022",5.46153846153846,3.28632246153846,20.0769230769231,4.30769230769231,3.04099136407408,10.6923076923077,1.07692307692308,0.831985405898449,8.23076923076923,"GG","Munich",60.24,2022,1,0.951322666116126,0.948052840143499,0.89442719138956
"GG_2023",6.33333333333333,3.88872766666667,42.3333333333333,3,2.20235068668157,22.3333333333333,3.33333333333333,2.13170169015497,20,"GG","Munich",60.24,2023,1,0.800737807372596,0.728392597635167,0.707106781186548
"GP_2021",9.3125,5.46161110202475,60.15625,4.9375,3.53120817666356,23.5625,4.375,2.71626039733242,37.6875,"GP","Munich",55.53,2021,1,0.955558167577025,0.92260761792148,0.96808038639881
"GP_2022",12.375,7.55832575,49.875,5.46875,3.81477648060478,15.90625,6.15625,4.19511747108182,31.03125,"GP","Munich",55.53,2022,1,0.941976344708395,0.900191220338274,0.954211757269784
"GP_2023",8.85,5.4322461,45.3,4.8,3.01595302199055,19.9,3.6,2.76819697275842,23.6,"GP","Munich",55.53,2023,1,0.937871965731248,0.900860663954024,0.952810182694458
"HB_2020",12.6818181818182,5.48739260201613,56.5454545454545,6.31818181818182,3.80932257138791,15.3181818181818,6.36363636363636,3.44862497069771,41.2272727272727,"HB","Berlin",58.45,2020,1,0.944535600611296,0.874782646415649,0.942044060679767
"HB_2021",8.80645161290323,4.84949915507729,49.4193548387097,5.2258064516129,3.77715841216708,17.9354838709677,3.51612903225806,2.16379472933771,31.4193548387097,"HB","Berlin",58.45,2021,1,0.933784353910716,0.919396706245545,0.931504095327547
"IGF_2021",10.5161290322581,5.84865446556993,54.2258064516129,6.87096774193548,4.60393257559558,24.6451612903226,3.61290322580645,2.56433148492822,30.1612903225806,"IGF","Munich",67.13,2021,1,0.954017386248247,0.930865301266941,0.943794578554423
"IGF_2022",10.78125,6.61216284375,40.6875,5.6875,3.98129287122756,14.46875,4.65625,3.37543833023171,25.3125,"IGF","Munich",67.13,2022,1,0.960965471943713,0.911975585902883,0.969137038315493
"IGF_2023",9.15,6.1360355,45.9,6.05,4.34479000055333,20.8,2.65,2.16303351150613,23.15,"IGF","Munich",67.13,2023,1,0.947633011664663,0.937055913629617,0.944135744644127
"KF_2020",11.375,5.68796223549276,48.375,8.45833333333333,5.45384448322642,27.3333333333333,2.91666666666667,1.78039754509178,22.875,"KF","Berlin",23.85,2020,1,0.941626492904056,0.907418963404312,0.944496620025535
"KF_2021",9.54838709677419,5.40852311264457,51.4516129032258,6.58064516129032,4.56115962933006,24.1935483870968,2.67741935483871,1.88294110325532,26,"KF","Berlin",23.85,2021,1,0.939269257414768,0.911651558410092,0.969164513513332
