"MDS1","MDS2","MDS3","status","city","Urb"
-0.409565788766549,0.00628692376569135,-0.170635368803371,"Berlin Rural","Berlin","Rural"
-0.189117693792572,0.310648315050434,-0.124144515702634,"Berlin Rural","Berlin","Rural"
-0.179257469283908,-0.139553458047761,-0.241310886392795,"Berlin Rural","Berlin","Rural"
-0.12602353615382,-0.000341343407106063,-0.200757955128275,"Berlin Rural","Berlin","Rural"
-0.216787417081332,0.0356318809344149,-0.308709947876849,"Berlin Rural","Berlin","Rural"
-0.301848203710935,0.315968934272838,-0.185860974572581,"Berlin Rural","Berlin","Rural"
-0.212685616987155,0.0732996310814935,-0.378084071912089,"Berlin Rural","Berlin","Rural"
-0.0427234160503309,0.342632505132292,0.334285993126926,"Berlin Rural","Berlin","Rural"
0.112999125556001,0.331634072601578,-0.292293864459631,"Berlin Rural","Berlin","Rural"
-0.368839469858357,0.140607466081811,-0.0734382330006587,"Berlin Rural","Berlin","Rural"
-0.197490187110398,0.183610103724641,0.0241676784858597,"Berlin Rural","Berlin","Rural"
0.100512492990693,0.283752670881972,-0.152813462748229,"Berlin Rural","Berlin","Rural"
-0.1986634598172,-0.0596797197538602,-0.33414079222732,"Berlin Rural","Berlin","Rural"
-0.0384257774923083,0.237507717467152,-0.266059743045059,"Berlin Rural","Berlin","Rural"
0.141680095402229,-0.0866048141791442,0.433836408649255,"Munich Urban","Munich","Urban"
-0.0412190941585932,-0.263518783115796,0.0244531550693014,"Munich Urban","Munich","Urban"
0.105110105153771,-0.329800562768644,0.17272090164421,"Munich Urban","Munich","Urban"
0.0119060862242434,-0.311676596410691,-0.0760676084441271,"Munich Urban","Munich","Urban"
0.115333174463942,-0.139249761093644,0.136394321568112,"Munich Urban","Munich","Urban"
0.172341210219106,-0.187991580287868,0.182283030193524,"Munich Urban","Munich","Urban"
0.142931625804577,-0.0578917758545234,0.23197444949512,"Munich Urban","Munich","Urban"
0.0697692131236573,-0.195849865788789,0.0435436005601305,"Munich Urban","Munich","Urban"
0.246683938778332,-0.04860000669723,0.0278179600667488,"Munich Urban","Munich","Urban"
0.253300074812819,-0.094760295546333,0.292358425576532,"Munich Urban","Munich","Urban"
0.152835727015396,-0.0284576268644331,0.0905729152614593,"Munich Urban","Munich","Urban"
0.235772723437309,-0.366559356726512,-0.148352143853487,"Munich Urban","Munich","Urban"
-0.0323579317261481,-0.184525464624912,0.282831677640684,"Munich Urban","Munich","Urban"
-0.114629784389993,-0.356809634636787,-0.124124014952265,"Munich Rural","Munich","Rural"
-0.143957470263905,-0.391078350336021,0.114613829213853,"Munich Rural","Munich","Rural"
-0.0831720941125479,-0.276482024847833,-0.0636215637339181,"Munich Rural","Munich","Rural"
-0.177769988090998,-0.243454384241735,0.0350480206991303,"Munich Rural","Munich","Rural"
-0.00469623591741831,-0.23707791661047,-0.0437985876393439,"Munich Rural","Munich","Rural"
0.138094494661112,-0.0807960180988974,0.38423694981407,"Munich Rural","Munich","Rural"
-0.0476178882988271,-0.355542704634848,-0.115100471988138,"Munich Rural","Munich","Rural"
-0.000330569717803703,-0.37971069629289,-0.182149160355365,"Munich Rural","Munich","Rural"
-0.0284453835936732,-0.304729031625606,-0.137137348339509,"Munich Rural","Munich","Rural"
0.0487465201405977,-0.278216812885603,-0.0133814772870446,"Munich Rural","Munich","Rural"
-0.0155845225230302,0.10363020469648,0.264113871588542,"Munich Rural","Munich","Rural"
-0.0284784198545613,-0.383001659131522,-0.176802870094483,"Munich Rural","Munich","Rural"
