"MDS1","MDS2","MDS3","status","city","Urb"
-0.280553136399537,-0.0997869578167715,-0.293194098237167,"Berlin Rural","Berlin","Rural"
-0.314583179804898,0.0573950416319531,-0.364716516663689,"Berlin Rural","Berlin","Rural"
-0.180670901483816,0.289562341945254,-0.352907352251294,"Berlin Rural","Berlin","Rural"
-0.0624772144868657,0.318541991442514,-0.344210241591744,"Berlin Rural","Berlin","Rural"
0.159501698539366,-0.340138058909357,0.162494707883785,"Munich Urban","Munich","Urban"
0.21928158344735,-0.0420222075211556,0.191736655426169,"Munich Urban","Munich","Urban"
0.240213374443376,-0.174298728508094,0.376616954322019,"Munich Urban","Munich","Urban"
0.0199161320703914,-0.384845919362495,-0.0475349836710206,"Munich Rural","Munich","Rural"
0.163755425511949,-0.424550242194375,-0.126508692004738,"Munich Rural","Munich","Rural"
0.12356121186133,-0.406018671560086,-0.182250428453797,"Munich Rural","Munich","Rural"
-0.149910925982325,-0.471926085614515,0.104845849722348,"Berlin Rural","Berlin","Rural"
-0.0779362344351681,-0.308579416913869,0.0408700300047514,"Berlin Rural","Berlin","Rural"
0.109295066395241,-0.453418993104963,-0.112354146550041,"Berlin Rural","Berlin","Rural"
0.121261613752036,-0.338725865927048,-0.132233557734222,"Berlin Rural","Berlin","Rural"
-0.351282610981574,0.105773638296171,0.185221453026995,"Berlin Rural","Berlin","Rural"
-0.469041908766863,0.241059957760684,0.293673236084872,"Berlin Rural","Berlin","Rural"
-0.187025088879239,0.238964154653605,0.157277533243311,"Berlin Rural","Berlin","Rural"
-0.340000037649874,0.0888821451941968,0.124341277920174,"Berlin Rural","Berlin","Rural"
0.0384315419367352,0.116781496663945,0.131864424888362,"Munich Urban","Munich","Urban"
0.0151335678922303,0.240478803952983,0.472312561763508,"Munich Urban","Munich","Urban"
0.178993661761934,-0.144519137079321,0.649544391337297,"Munich Urban","Munich","Urban"
0.30506931624083,0.259134407726876,-0.0337120097429514,"Munich Urban","Munich","Urban"
0.37017271566777,0.110887664846148,0.0377665128275131,"Munich Urban","Munich","Urban"
0.357750918946034,0.163180117121177,-0.0629065035775885,"Munich Urban","Munich","Urban"
-0.198199763656816,-0.0750276056071907,0.0994988848437098,"Berlin Urban","Berlin","Urban"
-0.137603439896982,0.103297957626288,0.129451305783358,"Berlin Urban","Berlin","Urban"
0.277082028607768,-0.0104112146452026,0.181327796437637,"Munich Urban","Munich","Urban"
0.398210092916777,0.109043149220027,0.0394826829460155,"Munich Urban","Munich","Urban"
0.330373601899904,0.180140978344666,-0.0190173352967619,"Munich Urban","Munich","Urban"
-0.473513209801571,0.0559914344964008,-0.181108076608015,"Berlin Rural","Berlin","Rural"
-0.391430956367255,0.12523360828165,-0.14866997840715,"Berlin Rural","Berlin","Rural"
-0.381359521161611,0.1641743498632,-0.0283959917585706,"Berlin Rural","Berlin","Rural"
-0.403907675859956,-0.0322317941759569,-0.0821989575769407,"Berlin Rural","Berlin","Rural"
0.212351660397675,-0.0645354198639471,-0.0418839056049341,"Munich Urban","Munich","Urban"
0.21652480292601,-0.0187452401297468,-0.10168449786917,"Munich Urban","Munich","Urban"
0.0640264572124236,-0.106291261461783,0.0429083992664982,"Munich Rural","Munich","Rural"
0.129029334758453,-0.0174921472156662,0.053897619265487,"Munich Rural","Munich","Rural"
0.173342876405983,-0.0730027624072274,-0.0981945645115566,"Munich Rural","Munich","Rural"
-0.42723910430762,-0.0677066864623584,-0.30160080623301,"Berlin Urban","Berlin","Urban"
-0.175665383185353,-0.318967490450236,-0.150432078017144,"Berlin Urban","Berlin","Urban"
-0.0950951687368566,-0.263674408784803,-0.289357617007674,"Berlin Urban","Berlin","Urban"
-0.507442647023937,-0.0967017449827077,-0.174139388333753,"Berlin Urban","Berlin","Urban"
0.491785637883239,0.0449019277781662,-0.198898222056936,"Munich Rural","Munich","Rural"
0.571292336601292,-0.0310349080491861,-0.125524992519466,"Munich Rural","Munich","Rural"
0.636732415671577,0.0124799343298589,-0.196164472800485,"Munich Rural","Munich","Rural"
-0.0374286653716804,-0.440577429532342,-0.274510957165169,"Berlin Urban","Berlin","Urban"
-0.0458093407668662,-0.52301021136669,-0.154399513913279,"Berlin Urban","Berlin","Urban"
0.422025521105313,0.341085895804882,0.390542438870517,"Munich Rural","Munich","Rural"
0.321376584607305,0.484833951266199,0.285695190334169,"Munich Rural","Munich","Rural"
0.514132039232944,0.364897274433401,0.115803508647021,"Munich Rural","Munich","Rural"
0.0894412670596676,0.0950914346010655,0.301175059309486,"Munich Rural","Munich","Rural"
0.167129694680082,0.0392322895226711,0.259190670604264,"Munich Rural","Munich","Rural"
0.121673054635915,-0.271672937840161,0.175481303281086,"Munich Rural","Munich","Rural"
0.170751425569582,-0.386345826972005,0.0249148383092448,"Munich Rural","Munich","Rural"
0.305457494110574,-0.223060257004183,0.21281358323716,"Munich Rural","Munich","Rural"
0.139311548271503,-0.232021171765402,-0.0440726008280879,"Munich Urban","Munich","Urban"
0.0642564266757761,0.0184145559245184,0.297575746376595,"Munich Urban","Munich","Urban"
0.511900676826206,0.109721037298766,0.00601578725270407,"Munich Urban","Munich","Urban"
0.268917257951272,0.161564794410185,-0.139783970345772,"Berlin Rural","Berlin","Rural"
0.37369947694983,-0.0605762626918243,-0.0883153573003199,"Berlin Rural","Berlin","Rural"
0.261151469314912,-0.058980277266914,-0.04575114866157,"Berlin Rural","Berlin","Rural"
0.300104357535607,-0.149517005195752,-0.116209470753166,"Berlin Rural","Berlin","Rural"
