"Species","Cultivated","Wild"
"Ribes.x.nidigrolaria","X",NA
"Robinia.pseudoacacia",NA,"X"
"Rorippa.palustris","X","X"
"Rorippa.sp.",NA,"X"
"Rorippa.sylvestris",NA,"X"
"Rosa.canina","X","X"
"Rosa.chinensis","X",NA
"Rosa.corymbifera","X",NA
"Rosa.multiflora","X",NA
"Rosa.polyantha","X",NA
"Rosa.rugosa","X",NA
"Rosa.sp.","X","X"
"Rosmarinus.officinalis","X",NA
"Rubia.tinctorum","X","X"
"Rubus.caesius",NA,"X"
"Rubus.fruticosus","X","X"
"Rubus.idaeus","X","X"
"Rubus.phoenicolasius","X",NA
"Rubus.pruinosus",NA,"X"
"Rubus.saxatilis",NA,"X"
"Rubus.sp.","X","X"
"Rudbeckia.fulgida","X","X"
"Rudbeckia.hirta","X",NA
"Rudbeckia.laciniata","X",NA
"Rudbeckia.sp.","X","X"
"Rumex.acetosa","X","X"
"Rumex.acetosella",NA,"X"
"Rumex.crispus",NA,"X"
"Rumex.obtusifolius","X","X"
"Rumex.patientia","X",NA
"Rumex.rugosus","X",NA
"Rumex.sanguineus","X","X"
"Rumex.scutatus","X",NA
"Rumex.sp.","X","X"
"Rumex.thyrsiflorus",NA,"X"
"Ruta.graveolens","X",NA
"Sagina.apetala",NA,"X"
"Sagina.procumbens",NA,"X"
"Salix.alba",NA,"X"
"Salix.caprea",NA,"X"
"Salix.purpurea",NA,"X"
"Salix.sp.",NA,"X"
"Salvia.elegans","X",NA
"Salvia.hispanica","X",NA
"Salvia.lyrata","X",NA
"Salvia.microphylla","X",NA
"Salvia.nemorosa","X","X"
"Salvia.officinalis","X","X"
"Salvia.pratensis","X","X"
"Salvia.rosmarinus","X",NA
"Salvia.sclarea","X",NA
"Salvia.sp.","X","X"
"Salvia.verticillata","X",NA
"Sambucus.nigra","X","X"
"Sambucus.sp.",NA,"X"
"Sanguisorba.alpina","X",NA
"Sanguisorba.minor","X","X"
"Sanguisorba.officinalis","X","X"
"Sanguisorba.sp.","X","X"
"Sanguisorba.tenuifolia","X",NA
"Sanicula.europaea","X",NA
"Santolina.sp.","X","X"
"Santolina.viridis","X",NA
"Saponaria.ocymoides","X","X"
"Saponaria.officinalis","X","X"
"Saponaria.sp.","X","X"
"Satureja.hortensis","X",NA
"Satureja.montana","X",NA
"Satureja.sp.","X",NA
"Saururus.sp.","X",NA
"Saxifraga.cuneifolia","X",NA
"Saxifraga.sp.","X",NA
"Scabiosa.canescens","X",NA
"Scabiosa.columbaria","X",NA
"Scabiosa.ochroleuca",NA,"X"
"Scabiosa.sp.","X",NA
"Scilla.peruviana","X",NA
"Scilla.siberica",NA,"X"
"Scilla.sp.",NA,"X"
"Scorzonera.hispanica","X","X"
"Scorzoneroides.autumnalis",NA,"X"
"Scrophularia.nodosa",NA,"X"
"Scrophularia.sp.",NA,"X"
"Scutellaria.altissima",NA,"X"
"Scutellaria.ovata",NA,"X"
"Securigera.varia",NA,"X"
"Sedum.acre","X","X"
"Sedum.album","X","X"
"Sedum.hispanicum","X","X"
"Sedum.reflexum","X",NA
"Sedum.rupestre","X",NA
"Sedum.sexangulare","X","X"
"Sedum.sp.","X","X"
"Sedum.spurium","X","X"
"Sempervivum.montanum","X",NA
"Sempervivum.sp.","X",NA
"Sempervivum.tectorum","X",NA
"Senecio.alpinus","X","X"
"Senecio.inaequidens","X","X"
"Senecio.jacobaea","X","X"
"Senecio.leucanthemifolius",NA,"X"
"Senecio.sp.",NA,"X"
"Senecio.sylvaticus","X",NA
"Senecio.vulgaris",NA,"X"
"Sideritis.sp.","X",NA
"Silene.armeria","X",NA
"Silene.chalcedonica","X",NA
"Silene.coronaria","X","X"
"Silene.latifolia","X","X"
"Silene.sp.","X","X"
"Silene.uniflora","X",NA
"Silene.viscaria","X",NA
"Silene.vulgaris","X","X"
"Silybum.marianum","X","X"
"Sinapis.alba","X","X"
"Sinapis.arvensis",NA,"X"
"Sisymbrium.loeselii",NA,"X"
"Sisymbrium.officinale",NA,"X"
"Sisymbrium.sp.",NA,"X"
"Smallanthus.sonchifolius","X",NA
"Solanum.aethiopicum","X",NA
"Solanum.chenopodioides",NA,"X"
"Solanum.dulcamara",NA,"X"
"Solanum.lycopersicum","X","X"
"Solanum.melongena","X",NA
"Solanum.nigrum",NA,"X"
"Solanum.sp.",NA,"X"
"Solanum.tuberosum","X","X"
"Solidago.canadensis","X","X"
"Solidago.gigantea","X","X"
"Solidago.sp.","X","X"
"Sonchus.arvensis","X","X"
"Sonchus.asper","X","X"
"Sonchus.oleraceus","X","X"
"Sonchus.sp.",NA,"X"
"Sorbus.intermedia",NA,"X"
"sp..sp.",NA,"X"
"Spinacia.oleracea","X","X"
"Stachys.byzantina","X","X"
"Stachys.sp.","X","X"
"Stachys.sylvatica","X","X"
"Stellaria.apetala",NA,"X"
"Stellaria.aquatica",NA,"X"
"Stellaria.holostea","X",NA
"Stellaria.media","X","X"
"Stellaria.sp.",NA,"X"
"Stratiotes.aloides","X",NA
"Succisa.pratensis","X",NA
"Symphoricarpos.albus","X","X"
"Symphoricarpos.orbiculatus","X",NA
"Symphoricarpos.sp.","X",NA
"Symphyotrichum.novi.belgii","X",NA
"Symphyotrichum.sp.","X",NA
"Symphytum.officinale","X","X"
"Symphytum.sp.","X","X"
"Symphytum.tuberosum",NA,"X"
"Syringa.sp.",NA,"X"
"Syringa.vulgaris",NA,"X"
"Tagetes.sp.","X",NA
"Tagetes.tenuifolia","X",NA
"Tagetes.x_erecta","X",NA
"Tanacetum.balsamita","X","X"
"Tanacetum.corymbosum","X",NA
"Tanacetum.parthenium","X","X"
"Tanacetum.sp.",NA,"X"
"Tanacetum.vulgare","X","X"
"Taraxacum.officinale",NA,"X"
"Taraxacum.sp.","X","X"
"Taxus.baccata","X",NA
"Tellima.grandiflora",NA,"X"
"Tetragonia.tetragonoides","X",NA
"Thalictrum.aquilegiifolium","X",NA
"Thlaspi.alliaceum",NA,"X"
"Thlaspi.arvense",NA,"X"
"Thunbergia.alata","X",NA
"Thymus.citriodorus_x.vulgaris","X",NA
"Thymus.longicaulis","X",NA
"Thymus.odoratissimus","X",NA
"Thymus.pannonicus","X",NA
"Thymus.pulegeoides","X",NA
"Thymus.pulegioides","X","X"
"Thymus.serpyllum","X","X"
"Thymus.sp.","X",NA
"Thymus.vulgaris","X",NA
"Tilia.cordata",NA,"X"
"Tilia.sp.",NA,"X"
"Tithonia.rotundifolia","X",NA
"Tradescantia.sp.","X",NA
"Tradescantia.virginiana","X","X"
"Tradescantia.x.andersoniana","X",NA
"Tragopogon.dubius","X",NA
"Tragopogon.sp.","X",NA
"Tribulus.terrestris",NA,"X"
"Trifolium.arvense",NA,"X"
"Trifolium.campestre",NA,"X"
"Trifolium.dubium","X","X"
"Trifolium.fragiferum",NA,"X"
"Trifolium.hybridum",NA,"X"
"Trifolium.incarnatum","X",NA
"Trifolium.pratense","X","X"
"Trifolium.repens","X","X"
"Trifolium.resupinatum","X",NA
"Trifolium.sp.","X","X"
"Trifolium.subterraneum",NA,"X"
"Tripleurospermum.inodorum","X","X"
"Tropaeolum.majus","X","X"
"Tropaeolum.sp.","X","X"
"Tulipa.sp.","X","X"
"Tussilago.farfara",NA,"X"
"Typha.latifolia","X",NA
"Tyrimnus.leucographus",NA,"X"
"Ulmus.sp.","X",NA
"Urtica.dioica","X","X"
"Urtica.sp.","X","X"
"Urtica.urens",NA,"X"
"Vaccaria.hispanica","X",NA
"Vaccinium.myrtillus","X",NA
"Valeriana.officinalis","X","X"
"Valeriana.sp.","X","X"
"Valerianella.locusta","X","X"
"Verbascum.blattaria","X",NA
"Verbascum.densiflorum",NA,"X"
"Verbascum.nigrum","X","X"
"Verbascum.phlomoides","X","X"
"Verbascum.pulverulentum","X",NA
"Verbascum.sp.","X","X"
"Verbascum.thapsus",NA,"X"
"Verbena.bonariensis","X",NA
"Verbena.officinalis","X","X"
"Verbena.sp.",NA,"X"
"Verbena.x.hybrida","X",NA
"Veronica.agrestis",NA,"X"
"Veronica.arvensis",NA,"X"
"Veronica.chamaedrys",NA,"X"
"Veronica.filiformis",NA,"X"
"Veronica.hederifolia","X","X"
"Veronica.longifolia","X","X"
"Veronica.montana",NA,"X"
"Veronica.peregrina",NA,"X"
"Veronica.persica","X","X"
"Veronica.polita",NA,"X"
"Veronica.serpyllifolia","X","X"
"Veronica.sp.","X","X"
"Veronica.spicata","X",NA
"Veronica.sublobata",NA,"X"
"Veronica.verna",NA,"X"
"Vicia.angustifolia",NA,"X"
"Vicia.cracca","X","X"
"Vicia.faba","X","X"
"Vicia.hirsuta",NA,"X"
"Vicia.hybrida",NA,"X"
"Vicia.sativa","X","X"
"Vicia.sepium",NA,"X"
"Vicia.sp.","X","X"
"Vicia.tetrasperma",NA,"X"
"Vicia.villosa",NA,"X"
"Vinca.major","X","X"
"Vinca.minor","X",NA
"Viola.arvensis","X","X"
"Viola.odorata","X","X"
"Viola.sp.","X","X"
"Viola.tricolor","X","X"
"Viola.wittrockiana","X",NA
"Vitis.vinifera","X","X"
"Waldsteinia.sp.",NA,"X"
"Waldsteinia.ternata","X","X"
"Xanthium.strumarium",NA,"X"
"Yucca.filamentosa","X",NA
"Zea.mays","X",NA
"Zinnia.angustifolia","X",NA
"Zinnia.elegans","X",NA
"Zinnia.haageana","X",NA
"Zinnia.sp.","X",NA
