"Species","Cultivated","Wild"
"Cardamine.parviflora",NA,"X"
"Cardamine.pratensis",NA,"X"
"Cardamine.resedifolia",NA,"X"
"Cardamine.sp.","X","X"
"Cardiospermum.halicacabum","X",NA
"Carpinus.betulus",NA,"X"
"Carum.carvi","X","X"
"Caucalis.platycarpos",NA,"X"
"Centaurea.cyanus","X","X"
"Centaurea.fischeri","X",NA
"Centaurea.jacea",NA,"X"
"Centaurea.montana","X",NA
"Centaurea.nigra","X","X"
"Centaurea.scabiosa","X","X"
"Centaurea.sp.","X","X"
"Centaurea.triumfettii","X",NA
"Centranthus.ruber","X","X"
"Cerastium.arvense","X","X"
"Cerastium.brachypetalum",NA,"X"
"Cerastium.fontanum",NA,"X"
"Cerastium.glomeratum",NA,"X"
"Cerastium.holosteoides",NA,"X"
"Cerastium.pumilum",NA,"X"
"Cerastium.semidecandrum",NA,"X"
"Cerastium.sp.","X","X"
"Cerastium.tomentosum","X",NA
"Cerinthe.major","X",NA
"Chaenomeles.sp.","X","X"
"Chaenorhinum.minus",NA,"X"
"Chaerophyllum.temulum",NA,"X"
"Chamaemelum.nobile","X","X"
"Chelidonium.majus","X","X"
"Chenopodiastrum.hybridum",NA,"X"
"Chenopodiastrum.murale",NA,"X"
"Chenopodium.album","X","X"
"Chenopodium.ficifolium",NA,"X"
"Chenopodium.giganteum","X","X"
"Chenopodium.polyspermum",NA,"X"
"Chenopodium.quinoa","X",NA
"Chenopodium.sp.","X","X"
"Chenopodium.vulvaria",NA,"X"
"Chrysanthemum.sp.","X",NA
"Chrysanthemum.x.grandiflorum","X",NA
"Cicer.arietinum","X",NA
"Cichorium.endivia","X","X"
"Cichorium.intybus","X","X"
"Circaea.lutetiana","X",NA
"Cirsium.arvense","X","X"
"Cirsium.sp.","X","X"
"Cirsium.vulgare",NA,"X"
"Cistus.creticus","X",NA
"Claytonia.perfoliata","X","X"
"Clematis.sp.","X","X"
"Clematis.vitalba",NA,"X"
"Cleome.spinosa","X",NA
"Clypeola.jonthlaspi","X",NA
"Commelina.communis","X","X"
"Conium.maculatum",NA,"X"
"Consolida.ajacis","X",NA
"Convallaria.majalis","X",NA
"Convolvulus.arvensis","X","X"
"Convolvulus.sp.",NA,"X"
"Convolvulus.tricolor",NA,"X"
"Coreopsis.grandiflora","X",NA
"Coriandrum.sativum","X","X"
"Cornus.mas","X","X"
"Cornus.sanguinea","X","X"
"Cornus.sericea","X",NA
"Cornus.sp.","X","X"
"Coronilla.spec","X",NA
"Coronilla.varia","X","X"
"Corydalis.solida",NA,"X"
"Corylus.avellana",NA,"X"
"Cosmos.bipinnatus","X","X"
"Cosmos.sp.","X","X"
"Cosmos.sulphureus","X",NA
"Cotoneaster.horizontalis",NA,"X"
"Cotoneaster.sp.","X","X"
"Crambe.maritima","X",NA
"Crataegus.sp.","X","X"
"Crepis.biennis",NA,"X"
"Crepis.bursifolia",NA,"X"
"Crepis.capillaris",NA,"X"
"Crepis.foetida",NA,"X"
"Crepis.sancta",NA,"X"
"Crepis.setosa",NA,"X"
"Crepis.sp.",NA,"X"
"Crepis.vesicaria",NA,"X"
"Crocosmia.x.crocosmiiflora","X",NA
"Crocus.sp.","X","X"
"Crocus.vernus",NA,"X"
"Cucumis.melo","X",NA
"Cucumis.sativus","X",NA
"Cucurbita.maxima","X",NA
"Cucurbita.pepo","X","X"
"Cucurbita.sp.","X",NA
"Cyanus.segetum","X",NA
"Cyclachaena.xanthiifolia","X",NA
"Cyclamen.sp.","X",NA
"Cyclanthera.pedata","X",NA
"Cymbalaria.muralis",NA,"X"
"Cynara.cardunculus","X",NA
"Cynoglossum.officinale",NA,"X"
"Cytisus.multiflorus","X",NA
"Cytisus.scoparius","X",NA
"Dahlia.sp.","X",NA
"Daphne.mezereum","X",NA
"Datura.sp.","X",NA
"Datura.stramonium","X","X"
"Daucus.carota","X","X"
"Daucus.sativus","X","X"
"Daucus.sp.","X",NA
"Delphinium.consolida","X",NA
"Delphinium.elatum","X",NA
"Delphinium.sp.","X",NA
"Descurainia.sophia",NA,"X"
"Deutzia.gracilis",NA,"X"
"Dianthus.barbatus","X",NA
"Dianthus.carthusianorum","X","X"
"Dianthus.caryophyllus","X",NA
"Dianthus.deltoides","X",NA
"Dianthus.giganteus","X",NA
"Dianthus.sp.","X",NA
"Dicentra.sp.abilis","X",NA
"Dichondra.micrantha","X","X"
"Digera.muricata","X",NA
"Digitalis.purpurea","X",NA
"Digitalis.sp.",NA,"X"
"Diplotaxis.muralis",NA,"X"
"Diplotaxis.tenuifolia","X","X"
"Dipsacus.fullonum","X","X"
"Dipsacus.pilosus",NA,"X"
"Dipsacus.sp.","X","X"
"Draba.verna",NA,"X"
"Dryopteris.filix.mas","X",NA
"Dryopteris.sp.","X","X"
"Echinacea.purpurea","X","X"
"Echinops.sp.","X",NA
"Echium.sp.","X","X"
"Echium.vulgare","X","X"
"Elsholtzia.ciliata","X",NA
"Epilobium.angustifolium",NA,"X"
"Epilobium.ciliatum",NA,"X"
"Epilobium.hirsutum",NA,"X"
"Epilobium.lamyi",NA,"X"
"Epilobium.montanum",NA,"X"
"Epilobium.parviflorum","X","X"
"Epilobium.roseum",NA,"X"
"Epilobium.sp.","X","X"
"Epilobium.tetragonum",NA,"X"
"Epimedium.sp.","X",NA
"Equisetum.arvense",NA,"X"
"Eranthis.hyemalis","X","X"
"Erica.sp.","X",NA
"Erigeron.acris","X","X"
"Erigeron.annuus","X","X"
"Erigeron.canadensis","X","X"
"Erigeron.philadelphicus",NA,"X"
"Erigeron.sp.",NA,"X"
"Eriobotrya.japonica",NA,"X"
"Erodium.cicutarium",NA,"X"
"Erodium.sp.",NA,"X"
"Eruca.sativa","X","X"
"Eruca.vesicaria","X",NA
"Eryngium.planum","X",NA
"Erysimum.cheiranthoides","X","X"
"Erysimum.cheiri","X",NA
"Erysimum.odoratum","X",NA
"Erysimum.sp.",NA,"X"
"Eschscholzia.californica","X","X"
"Eudianthe.coeli.rosa","X",NA
"Euonymus.fortunei","X","X"
"Eupatorium.cannabinum","X",NA
"Euphorbia.amygdaloides","X",NA
"Euphorbia.characias","X",NA
"Euphorbia.cyparissias","X","X"
"Euphorbia.graminea",NA,"X"
"Euphorbia.helioscopia","X","X"
"Euphorbia.lathyris","X","X"
"Euphorbia.peplus",NA,"X"
